,ADM,CREDITO,ENTRADA,PRAZO,PARCELAS,STATUS,VENCIMENTO,TRANSFERENCIA,COD
Imovel,HS,239.200,97.500,32,5.332,Disponivel,Consultar,2.458,C23
Imovel,CNP,248.000,87.000,48,4.309,Disponivel,10/09/2025,Consultar,C07
Imovel,HS,252.750,102.800,102,2.866,Disponivel,Consultar,4.427,C23
Imovel,RODOBENS,253.000,102.000,177,1.766,Disponivel,10/10/2025,Consultar,C72
Imovel,CAIXA,253.560,108.000,181,1.545,Disponivel,10/09/2025,1.500,C155
Imovel,RODOBENS,257.485,112.900,61,3.037,Disponivel,10/09/2025,3.000,C155
Imovel,RODOBENS,260.000,125.000,61,34 x 3.794 + 07 x 2.937 + 19 x 2.402 + 01 x 2.458,Disponivel,10/09/2025,3.350,C28
Imovel,PORTO,264.000,137.200,181,1.646,Disponivel,15/09/2025,Consultar,C07
Imovel,PORTO,266.000,137.000,236,20 x 1.216 + 216 x 1.137,Disponivel,15/09/2025,Consultar,C07
Imovel,MAGALU,272.506,105.000,147,2.039,Disponivel,20/09/2025,2.000,C105
Imovel,PORTO,273.000,200.750,143,1.256,Disponivel,15/09/2025,Consultar,C07
Imovel,PORTO,278.750,200.000,140,1.411,Disponivel,15/09/2025,3.945,C127
Imovel,ITAU,279.242,89.000,45,7.888,Disponivel,20/09/2025,650,C155
Imovel,ITAU,279.242,89.800,45,7.888,Disponivel,15/09/2025,650,C155
Imovel,YAMAHA,279.440,131.000,184,1.490,Disponivel,Consultar,Consultar,C35
Imovel,MAGALU,285.151,124.000,104,2.857,Disponível,20/09/2025,3.802,C156
Imovel,RODOBENS,288.000,123.000,108,24 x 2.090 + 84 x 3.120,Disponivel,10/09/2025,2.850,C28
Imovel,SANTANDER,288.000,146.000,83,2.449,Disponivel,10/09/2025,1.000,C09
Imovel,SANTANDER,291.000,150.000,89,2.483,Disponivel,10/09/2025,1.000,C09
Imovel,PORTO,292.450,180.000,155,1.562,Disponivel,15/09/2025,4.109,C127
Imovel,PRIMO ROSSI,293.380,115.900,171,2.438,Disponivel,18/11/2025,1.100,C155
Imovel,PORTO,293.480,180.000,155,1.563,Disponivel,15/09/2025,4.109,C127
Imovel,HS,295.650,113.500,102,2.955,Disponivel,Consultar,2.951,C23
Imovel,PORTO,297.000,135.000,178,1.906,Disponivel,15/08/2025,Consultar,C72
Imovel,PORTO,304.000,147.000,236,1.517,Disponivel,15/08/2025,Consultar,C72
Imovel,ITAU,304.024,73.190,29,12.343,Disponivel,Consultar,650,C80
Imovel,ITAU,304.195,75.590,29,12.206,Disponivel,Consultar,650,C80
Imovel,RECON,304.200,124.000,205,1.774,Disponivel,10/09/2025,Consultar,C07
Imovel,RODOBENS,304.353,152.290,150,2.732,Disponivel,Consultar,Consultar,C35
Imovel,CNP,305.000,130.000,126,3.034,Disponivel,10/09/2025,Consultar,C07
Imovel,HS,309.050,126.500,173,2.268,Disponivel,Consultar,4.238,C23
Imovel,UNICOOB,317.000,195.000,175,1.220,Disponivel,15/09/2025,Consultar,C07
Imovel,UNICOOB,318.000,196.500,175,1.220,Disponivel,15/09/2025,Consultar,C07
Imovel,PORTO,326.000,168.000,157,1.908,Disponivel,15/09/2025,Consultar,C11
Imovel,RACON,331.000,118.000,37,9.210,Disponivel,10/09/2025,800,C155
Imovel,ITAU,336.798,85.590,25,14.797,Disponivel,Consultar,650,C80
Imovel,PORTO,339.600,160.000,153,2.183,Disponível,Consultar,3.308,C156
Imovel,YAMAHA,341.000,213.000,47,3.935,Disponivel,15/09/2025,Consultar,C07
Imovel,HS,376.200,275.000,31,3.581,Disponivel,Consultar,6.412,C23
Imovel,MAGALU,378.000,199.000,108,3.125,Disponivel,Consultar,Consultar,C105
Imovel,HS,391.300,162.300,182,2.739,Disponivel,Consultar,5.431,C23
Imovel,EMBRACON,392.728,132.371,67,5.776,Disponivel,18/09/2025,5.000,C155
Imovel,HS,393.800,158.950,148,3.282,Disponivel,Consultar,5.553,C23
Imovel,MAGALU,397.000,208.000,237,1.605,Disponivel,20/09/2025,Consultar,C07
Imovel,HS,400.550,166.850,184,2.727,Disponivel,Consultar,5.431,C23
